2357.795,3434.7776;3162.931,3434.4912;3162.7595,3565.8633;2357.6006,3566.0386
5921.1235,2406.6152;6443.4106,2406.5808;6443.4536,2482.8657;5921.1606,2482.8992
5491.0073,1761.4991;6423.1836,1760.8011;6422.898,1898.2391;5490.736,1898.8419
5550.4653,495.17566;6381.9077,494.69382;6381.615,691.21967;5550.195,691.7912
2610.7017,483.20465;3375.8545,483.27463;3375.8225,722.1539;2610.6707,722.16956
2413.3872,1656.0258;3341.922,1656.0132;3341.9402,1772.048;2413.4053,1772.0607
3484.3262,1646.2836;5009.1953,1645.9069;5009.0117,1947.1456;3484.1475,1947.4661
5502.319,962.3027;6459.3726,961.1111;6458.8423,1104.8745;5501.8,1105.8704
3708.7969,3411.1694;4631.0015,3411.0933;4630.94,3724.387;3708.7285,3724.4373
3503.8237,2567.3364;4990.67,2567.3384;4990.625,2899.0256;3503.774,2899.0647
3504.8486,526.81903;4949.5576,526.4364;4949.378,741.0613;3504.6753,741.40405
5007.649,492.4016;5441.8525,492.4101;5441.8076,769.85254;5007.5986,769.88025
2365.172,2115.996;3470.376,2115.9927;3470.4128,2225.9067;2365.2102,2225.9119
3501.2305,1061.5756;4992.7446,1061.5342;4992.7236,1366.2676;3501.2007,1366.2712
150.28238,4565.543;237.24774,4565.555;237.25162,4717.8535;150.2808,4717.8604
5488.5537,2032.7662;6442.3247,2031.251;6441.655,2196.8228;5487.901,2198.0928
120.61227,1063.0615;218.8639,1063.0963;218.8582,1228.2479;120.58389,1228.2306
3514.783,2022.1849;4648.634,2022.1986;4648.6216,2370.706;3514.769,2370.688
3848.6748,879.0902;4519.588,879.0808;4519.61,960.4675;3848.7183,960.43695
6474.0913,169.28253;6819.424,168.99284;6819.297,311.46466;6473.9575,311.7633
826.2955,513.4237;2121.626,513.4098;2121.6519,634.0476;826.3202,634.05396
114.19661,767.99774;210.91469,767.9936;210.92361,932.287;114.1961,932.2942
3603.1663,2934.1697;4978.5674,2934.0652;4978.543,3254.5894;3603.1475,3254.6404
113.32565,1235.9722;216.35385,1235.9957;216.37163,1397.9331;113.328255,1397.9153
713.4348,2461.716;900.61127,2461.7534;900.6237,2622.8706;713.4468,2622.8755
104.39324,472.1818;218.39613,472.12863;218.40854,705.3215;104.38868,705.34503
144.31757,3341.359;254.54832,3341.2524;254.537,3629.5967;144.27995,3629.6963
5505.816,1499.9924;6412.3916,1499.3083;6412.112,1653.4725;5505.5522,1654.0668
138.7636,4978.5674;256.88446,4978.514;256.88174,5184.2437;138.74026,5184.279
5760.8457,3009.3386;5793.1484,3009.0115;5793.024,3032.996;5760.7593,3033.254
105.79368,4347.7173;215.72787,4347.7285;215.75694,4500.7295;105.82121,4500.716
112.08928,1385.3553;217.7059,1385.3408;217.71977,1537.2787;112.09297,1537.2911
